paper_id,model_id,doi,apa_citation,year,affective_model,is_classifier,class_model_output_number,class_model_output_categories,class_logistic_regression,class_support_vector_machine,class_k_nearest_neighbor,class_quadratic_discrimant_classifier,class_linear_discriminant_analysis,class_tree_based_models,class_naive_bayes,class_avg,class_lasso_t,class_ridge_t,class_lasso_var,class_ridge_var,class_tpa,class_hdc_mer,class_hmm,class_gradient_boostingclass,class_regre_fully_connected_neuronal_network_or_multi_layer_perceptron,class_convolutional_neuronal_network,class_recurrent_neuronal_network,class_gated_recurrent_units,class_lstm,class_cellular_neural_networks,class_adaboost_dt,class_quantum_neural_network,class_probabilistic_neural_network,class_backpropagation,class_extreme_learning_machine,class_ann,class_spiking_deep_belief_network,class_radial_basis_function,class_1r_rule,class_jrip,class_other,is_regressor,regre_model_output_number,regre_model_output_dimensions,regre_linear_regression,regre_support_vector_regression,regre_polynomial_regression,regre_ridge_regression,regre_logistic_regression,regre_knn,regre_decision_tree,regre_multilayer_regression,regre_boosted_regression_trees,regre_fully_connected_neuronal_network_or_multi_layer_perceptron,regre_convolutional_neuronal_network,regre_recurrent_neuronal_network,regre_lstm,regre_probabilistic_neural_network,regre_other,model_level_intersubject,model_level_intrasubject,n_model_input,is_physiologically_interpreted,model_interpretation,is_public_code,public_code_location,accuracy,precision,f_measure,recall_sensitivity_true_positive_rate,specificity_true_negative_rate,false_positive_rate,false_negative_rate,roc_auc,r2,r,mean_absolute_error,concordance_correlation_coefficient,spearmans_ranking_correlation,mean_square_error,root_mean_square_error,pearson_correlation_coefficient,unweighted_average_recall,matthews_correlation_coefficient,geometric_mean,metric_other,revisor,comentarios,Full_Judgement,Full_exclusion_category,Full_Evidence
1,1,,"Zangróniz, R., Martínez-Rodrigo, A., Pastor, J. M., López, M. T., & Fernández-Caballero, A. (2017). Electrodermal Activity Sensor for Classification of Calm/Distress Condition. Sensors (Basel, Switzerland), 17(10), E2324. https://doi.org/10.3390/s17102324
",2017.0,dimensional,x,2,"calm, distress",-,-,-,,-,x,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,,,x,-,-,-,-,-,-,89.18,-,-,93.9,85.36,-,,-,-,,-,,,,,,,,,,,,,,
2,1,,"Liu, M., Fan, D., Zhang, X., & Gong, X. (2017). Human Emotion Recognition Based on Galvanic Skin Response Signal Feature Selection and SVM. 157–160. Scopus. https://doi.org/10.1109/ICSCSE.2016.0051
",2016.0,categorical,x,5,"Happiness, Grief, Fear, Anger, Calm",-,x,-,-,-,,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,-,-,,-,-,-,-,66.67,-,-,,,,,-,-,,-,,,,,,,,,,,,,,
3,1,,"Ayata, D., Yaslan, Y., & Kamasak, M. E. (2018). Emotion Based Music Recommendation System Using Wearable Physiological Sensors. IEEE Transactions on Consumer Electronics, 64(2), 196–203. Scopus. https://doi.org/10.1109/TCE.2018.2844736
",2018.0,dimensional,x,2,"LA, HA",-,-,-,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,-,-,-,-,-,-,-,71.53,-,-,-,-,-,,-,-,,-,,,,,,,,,,,,,,
3,2,,"Ayata, D., Yaslan, Y., & Kamasak, M. E. (2018). Emotion Based Music Recommendation System Using Wearable Physiological Sensors. IEEE Transactions on Consumer Electronics, 64(2), 196–203. Scopus. https://doi.org/10.1109/TCE.2018.2844736
",2018.0,dimensional,x,2,"LV, HV",-,-,-,-,-,,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,x,,,-,-,x,-,71.04,-,-,-,-,,,-,-,,-,,,,,,,,,,,,,,
4,1,,"Ali, M., Machot, F. A., Mosa, A. H., Jdeed, M., Machot, E. A., & Kyamakya, K. (2018). A Globally Generalized Emotion Recognition System Involving Different Physiological Signals. Sensors (Basel, Switzerland), 18(6), E1905. https://doi.org/10.3390/s18061905",2018.0,dimensional,x,4,"HAHV, HALV, LAHV, LALV",-,-,x,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,x,-,-,-,-,-,-,64,-,-,-,-,-,,-,-,,-,,,,,,,,,,,,,,
4,2,,"Ali, M., Machot, F. A., Mosa, A. H., Jdeed, M., Machot, E. A., & Kyamakya, K. (2018). A Globally Generalized Emotion Recognition System Involving Different Physiological Signals. Sensors (Basel, Switzerland), 18(6), E1905. https://doi.org/10.3390/s18061906",2018.0,dimensional,x,4,"HAHV, HALV, LAHV, LALV",-,-,-,-,-,-,x,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,x,-,-,-,-,-,-,53,-,-,-,-,-,,-,-,,-,,,,,,,,,,,,,,
4,3,,"Ali, M., Machot, F. A., Mosa, A. H., Jdeed, M., Machot, E. A., & Kyamakya, K. (2018). A Globally Generalized Emotion Recognition System Involving Different Physiological Signals. Sensors (Basel, Switzerland), 18(6), E1905. https://doi.org/10.3390/s18061907",2018.0,dimensional,x,4,"HAHV, HALV, LAHV, LALV",-,-,-,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,x,-,-,-,-,-,-,60,-,-,-,-,-,,-,-,,-,,,,,,,,,,,,,,
4,4,,"Ali, M., Machot, F. A., Mosa, A. H., Jdeed, M., Machot, E. A., & Kyamakya, K. (2018). A Globally Generalized Emotion Recognition System Involving Different Physiological Signals. Sensors (Basel, Switzerland), 18(6), E1905. https://doi.org/10.3390/s18061908",2018.0,dimensional,x,4,"HAHV, HALV, LAHV, LALV",-,x,-,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,x,-,-,-,-,-,-,68,-,-,-,-,-,,-,-,,-,,,,,,,,,,,,,,
4,5,,"Ali, M., Machot, F. A., Mosa, A. H., Jdeed, M., Machot, E. A., & Kyamakya, K. (2018). A Globally Generalized Emotion Recognition System Involving Different Physiological Signals. Sensors (Basel, Switzerland), 18(6), E1905. https://doi.org/10.3390/s18061909",2018.0,dimensional,x,4,"HAHV, HALV, LAHV, LALV",-,-,-,-,-,-,-,,,,,,,,,,-,-,-,,-,x,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,x,-,-,-,-,-,-,75,-,-,-,-,-,,-,-,,-,,,,,,,,,,,,,,
5,1,,"Wei, J., Chen, T., Liu, G., & Yang, J. (2016). Higher-order Multivariable Polynomial Regression to Estimate Human Affective States. Scientific Reports, 6, 23384. https://doi.org/10.1038/srep23384",2016.0,dimensional,,-,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,-,,-,-,-,,,,,,,,,-,,x,-,arousal,-,-,-,,,,,,,-,-,-,-,-,,-,-,-,x,"By using the gradient fields (see Fig. 6(c,d)), the affective HMPM indirectly supports that the affective valence
and arousal have their origins in human brain’s motivational circuits. It seems to be reasonable that evaluative
affective components (valence and arousal) are associated with the broad functions of brain’s motivational circuits—appetitive subcircuits activation (pleasant) and defensive subcircuits activation (unpleasant) and an intensity of these two subcircuits activation (arousal)9
. Affective cues can induce skin conductance activations through
the limbic-hypothalamic EDA1 pathway, and the pleasant affect may additionally induce skin conductance activations through the premotor-basal ganglia EDA2 pathway37. The gradient field of valence (Fig. 6(c)) indicates
that the valence factor is mainly determined by the two dimensions: gain, that has neural activation intensity
meanings, and decay time constant, that has the meanings of skin conductance different pathways37,45. The gradient field of arousal (Fig. 6(d)) indicates that arousal factor is mainly determined by the gain dimension. These
findings may indirectly support prior researches9,48.
The HMPR is an important supplement to emotional estimation methodology. The HMPR, in fact, is not only
theoretically supported by the Taylor theorem, but also able to obtain an intuitive HMPM to efficiently estimate
the affective valence and arousal from pure skin conductance responses. Moreover, the result of comparing the
HMPR with the ANN models (see Supplementary Table S7) showed that both the HMPR and ANN can obtain
relative accurate computing results. Such accurate estimation results surely increases the impact in the wearable
computing fields such as smart watches, Mi Band, and Google Glass, etc. It is a trend now to detect human affect
by multimodal signals (e.g., neural activations, facial videos, voice recordings, body gestures, and physiological
signals, etc.",-,-,-,-,-,-,-,-,-,-,-,0.96,,,,,,,,,,,,,,,
5,2,,"Wei, J., Chen, T., Liu, G., & Yang, J. (2016). Higher-order Multivariable Polynomial Regression to Estimate Human Affective States. Scientific Reports, 6, 23384. https://doi.org/10.1038/srep23384",2016.0,categorical,,-,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,-,,-,-,-,,,,,,,,,-,,x,,valence,-,-,x,,,,,,,-,-,-,-,-,,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,0.98,,,,,,,,,,,,,,,
6,1,,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",2018.0,categorical,x,2,"acceptance, boredom",-,x,-,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,?,?,-,-,-,-,-,75,81,,71,,,,75,,,,,,,,,,,,,,,,,
6,2,,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",2018.0,categorical,x,2,"acceptance, joy",-,x,-,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,?,?,-,-,-,-,-,84,85,,84,-,-,-,89,-,-,-,,,,,,,,,,,,,,
6,3,,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",2018.0,categorical,x,2,"boredom, joy",-,x,-,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,?,?,-,-,-,-,-,90,82,,88,-,-,-,87,-,-,-,,,,,,,,,,,,,,
6,4,,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",2018.0,categorical,x,3,"acceptance, joy, boredom",-,x,-,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,?,?,-,-,-,-,-,69,,,,-,-,-,,-,-,-,,,,,,,,,,,,,,
6,5,,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",2018.0,categorical,x,2,"acceptance, boredom",-,-,x,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,?,?,-,-,-,-,-,70,71,,70,-,-,-,63,-,-,-,,,,,,,,,,,,,,
6,6,,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",2018.0,categorical,x,2,"acceptance, joy",-,-,x,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,?,?,-,-,-,-,-,82,80,-,82,-,-,-,81,-,-,-,,,,,,,,,,,,,,
6,7,,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",2018.0,categorical,x,2,"boredom, joy",-,-,x,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,?,?,-,-,-,-,-,85,77,,85,-,-,-,86,-,-,-,,,,,,,,,,,,,,
6,8,,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",2018.0,categorical,x,3,"baseline, stress, amusement",-,-,x,-,-,-,-,,,,,,,,,,-,-,-,,-,,,,,,,,,,,-,,,-,-,-,-,,,,,,,,-,-,-,-,-,,?,?,-,-,-,-,-,66,-,,,-,-,-,,-,-,-,,,,,,,,,,,,,,
